Unnamed: 0,Unnamed: 1,Unnamed: 2,Question-Answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Single-Choice,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Count,Unnamed: 16,Unnamed: 17
model,difficulty,Average,Accuracy,Reasoning,Completeness,Consensus Alignment,Terminology Norms,Insightfulness,Accuracy,Reasoning,Completeness,Consensus Alignment,Terminology Norms,Insightfulness,question-answer_count,single-choice_count,All
4b00,A,,3.711111,4.611111,3.9,5.9,6.466667,4.577778,8.45098,6.715686,6.019608,8.027451,6.911765,6.007843137,90,510,600
,B,,3.324607,4.329843,3.602094,5.965969,6.219895,4.240838,8.525346,6.829493,6.262673,8.276498,6.857143,5.963133641,382,217,600
,C,,2.638191,3.934673,3.482412,5.763819,6.18593,3.467337,7.719298,6.45614,5.967419,7.847118,6.749373,5.551378446,199,399,600
4b10,A,,3.666667,4.622222,4.133333,5.9,7.011111,4.6,8.745098,7.537255,7.147059,8.815686,8.139216,6.503921569,90,510,600
,B,,3.429319,4.445026,3.861257,5.926702,6.890052,4.5,8.703704,7.638889,7.560185,9.018519,8.078704,6.587962963,382,216,600
,C,,2.8,4.02,3.95,5.8,7.03,3.89,8.245614,7.363409,7.421053,8.66416,7.857143,6.107769424,200,399,600
4b30,A,,3.577778,4.677778,3.888889,5.711111,6.944444,4.633333,8.705882,7.547059,7.266667,8.845098,8.182353,6.609803922,90,510,600
,B,,3.366492,4.497382,3.814136,5.905759,6.947644,4.497382,8.663594,7.672811,7.612903,8.926267,8.110599,6.543778802,382,217,600
,C,,2.635,3.86,3.88,5.73,7.155,3.96,8.45,7.4375,7.52,8.735,7.895,6.125,200,400,600
4b60,A,,3.455556,4.677778,3.866667,5.466667,6.933333,4.6,8.823529,7.6,7.327451,8.890196,8.213725,6.639215686,90,510,600
,B,,3.526178,4.586387,3.929319,6.052356,7.013089,4.659686,8.894009,7.714286,7.64977,9.078341,8.119816,6.612903226,382,217,600
