Unnamed: 0,Question-Answer,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Single-Choice,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Count,Unnamed: 14,Unnamed: 15
,Accuracy,Reasoning,Completeness,Consensus Alignment,Terminology Norms,Insightfulness,Accuracy,Reasoning,Completeness,Consensus Alignment,Terminology Norms,Insightfulness,QAcount,SCcount,Average
Qwen4b00,3.28613,4.347236,3.640155,5.904947,6.246363,4.220175,8.291925,6.731884,6.124224,8.112836,6.879917,5.956522,1031,966,5.772659
Qwen4b10,3.337851,4.418199,3.796709,5.7212,6.879961,4.425944,8.60393,7.562565,7.42606,8.813857,8.054809,6.501551,1033,967,6.244667
Qwen4b30,3.393411,4.489341,3.864341,5.774225,6.958333,4.512597,8.725389,7.645596,7.468394,8.88601,8.109845,6.541969,1032,965,6.312719
Qwen4b60,3.454985,4.628267,3.872217,5.908035,7.028074,4.593417,8.759049,7.673216,7.479835,8.930714,8.126163,6.574974,1033,967,6.369417
Qwen4b100,3.499516,4.603098,3.92546,5.959342,6.999032,4.672798,8.68666,7.668046,7.510858,8.895553,8.146846,6.60393,1033,967,6.381833
Qwen8b00,3.623666,4.728419,4.00291,6.161979,7.073715,4.750727,8.850932,7.779503,7.594203,9.043478,8.154244,6.689441,1031,966,6.489568
Qwen8b10,3.565344,4.674734,3.950629,6.042594,7.010649,4.670862,8.819876,7.678054,7.530021,8.977226,8.109731,6.587992,1033,966,6.418459
Qwen8b30,3.656008,4.76938,4.035853,6.219961,7.112403,4.789729,8.800414,7.747673,7.576008,9.003102,8.164426,6.651499,1032,967,6.496832
Qwen8b60,3.651163,4.854651,4.034884,6.196705,7.170543,4.830426,8.871636,7.772257,7.614907,9.044513,8.165631,6.702899,1032,966,6.527861
Qwen8b100,3.672798,4.807357,4.066796,6.231365,7.091965,4.81607,8.901554,7.787565,7.615544,9.105699,8.177202,6.704663,1033,965,6.531615
Qwen14b00,3.832039,4.995146,4.05534,6.681553,6.807767,4.649515,8.304033,6.903826,6.297828,8.310238,6.985522,6.155119,1030,967,6.13345
Qwen14b10,3.627184,4.640777,4.000971,6.21165,7.105825,4.717476,8.697001,7.682523,7.528438,8.954498,8.107549,6.578077,1030,967,6.44233
Qwen14b30,3.70999,4.792435,4.086324,6.28516,7.122211,4.828322,8.911917,7.827979,7.659067,9.078756,8.18342,6.719171,1031,965,6.552021
Qwen14b60,3.747338,4.872217,4.103582,6.336883,7.14908,4.846079,8.964803,7.826087,7.670807,9.128364,8.139752,6.694617,1033,966,6.574787
Qwen14b100,3.764763,4.912875,4.127783,6.340755,7.171346,4.874153,8.871636,7.779503,7.609731,9.074534,8.150104,6.668737,1033,966,6.564782
