Unnamed: 0,Unnamed: 1,Question-Answer,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Single-Choice,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Model,Dataset,Accuracy,Reasoning,Completeness,Consensus Alignment,Terminology Norms,Insightfulness,Accuracy,Reasoning,Completeness,Consensus Alignment,Terminology Norms,Insightfulness,valid_count,Average
Qwen-4b 原始,GlobalHealthAtlas_Sample_2000,3.28613,4.347236,3.640155,5.904947,6.246363,4.220175,8.291925,6.731884,6.12228,8.096373,6.851813,5.940933,1998,
,Instruction-public-health-dataset_748,4.875502,5.900937,4.598394,7.179384,7.012048,5.361446,-,-,-,-,-,-,747,
,xhluca_publichealth_qa_888,5.072072,5.551802,4.539414,6.86036,6.736486,4.908784,-,-,-,-,-,-,888,
,MedQA_2000,0,0,0,0,0,0,6.965,6.751,6.602,7.659,7.7815,6.428,2000,
,medical_o1_sft_CN+EN_2000,4.566633,5.197896,4.967936,6.012024,6.953407,5.088677,-,-,-,-,-,-,1996,
,shibing624-medical_train_2000,3.741742,4.793293,3.691191,6.017518,6.411912,4.376877,-,-,-,-,-,-,1998,
Qwen-4b 100%微调,GlobalHealthAtlas_Sample_2000,3.499516,4.603098,3.92546,5.959342,6.999032,4.672798,8.68666,7.668046,7.510858,8.895553,8.146846,6.60393,2000,
,Instruction-public-health-dataset_748,5.050802,6.040107,4.81016,7.240642,7.491979,5.601604,-,-,-,-,-,-,748,
,xhluca_publichealth_qa_888,4.739865,5.27027,4.217342,6.355856,6.859234,4.795045,-,-,-,-,-,-,888,
,MedQA_2000,-,-,-,-,-,-,5.765,6.6295,7.02,7.1365,8.159,6.257,2000,
,medical_o1_sft_CN+EN_2000,4.0965,4.9485,4.726,5.335,7.324,4.8225,-,-,-,-,-,-,2000,
,shibing624-medical_train_2000,3.966983,4.887944,3.828914,5.952976,6.946473,4.533267,-,-,-,-,-,-,1999,
Qwen-8b 原始,GlobalHealthAtlas_Sample_2000,3.623666,4.728419,4.00291,6.161979,7.073715,4.750727,8.850932,7.779503,7.594203,9.043478,8.154244,6.689441,1999,
,Instruction-public-health-dataset_748,5.097724,6.171352,4.864793,7.483266,7.261044,5.583668,-,-,-,-,-,-,747,
,xhluca_publichealth_qa_888,5.545045,6.131757,4.887387,7.365991,7.114865,5.404279,-,-,-,-,-,-,888,
,MedQA_2000,-,-,-,-,-,-,7.836465,7.333672,7.247842,8.543423,8.042153,7.004571,1969,
,medical_o1_sft_CN+EN_2000,5.597886,5.968797,5.684952,7.009562,7.483644,5.802214,-,-,-,-,-,-,1987,
,shibing624-medical_train_2000,4.575651,6.085671,4.337675,7.202405,7.301603,5.208417,-,-,-,-,-,-,1996,
Qwen-8b 100%微调,GlobalHealthAtlas_Sample_2000,3.672798,4.807357,4.066796,6.231365,7.091965,4.81607,8.901554,7.787565,7.615544,9.105699,8.177202,6.704663,1998,
,Instruction-public-health-dataset_748,5.054813,6.09492,4.877005,7.398396,7.509358,5.640374,-,-,-,-,-,-,748,
,xhluca_publichealth_qa_888,5.038288,5.630631,4.426802,6.79955,6.974099,5.041667,-,-,-,-,-,-,888,
,MedQA_2000,-,-,-,-,-,-,6.405,7.2375,7.473,7.838,8.388,6.772,2000,
,medical_o1_sft_CN+EN_2000,4.72,5.4235,5.0885,6.01,7.592,5.2345,-,-,-,-,-,-,2000,
,shibing624-medical_train_2000,4.066,5.0815,3.9005,6.212,7.003,4.6775,-,-,-,-,-,-,2000,
Qwen-14b 原始,GlobalHealthAtlas_Sample_2000,3.832039,4.995146,4.05534,6.681553,6.807767,4.649515,8.304033,6.903826,6.297828,8.310238,6.985522,6.155119,1997,
,Instruction-public-health-dataset_748,5.192513,6.209893,4.958556,7.498663,7.540107,5.740642,-,-,-,-,-,-,748,
,xhluca_publichealth_qa_888,5.188275,5.821871,4.511838,6.956032,7.011274,5.13416,-,-,-,-,-,-,887,
,MedQA_2000,-,-,-,-,-,-,7.155,7.621,7.7995,8.328,8.5105,7.0495,2000,
,medical_o1_sft_CN+EN_2000,5.023023,5.685686,5.290791,6.307307,7.713714,5.416917,-,-,-,-,-,-,1998,
,shibing624-medical_train_2000,4.218,5.2545,3.9905,6.417,7.1845,4.865,-,-,-,-,-,-,2000,
Qwen-14b 100%微调,GlobalHealthAtlas_Sample_2000,3.764763,4.912875,4.127783,6.340755,7.171346,4.874153,8.871636,7.779503,7.609731,9.074534,8.150104,6.668737,1997,
,Instruction-public-health-dataset_748,5.248996,6.410977,5.012048,7.742972,7.420348,5.677376,-,-,-,-,-,-,747,
,xhluca_publichealth_qa_888,5.705549,6.433749,5.04077,7.586636,7.277463,5.450736,-,-,-,-,-,-,883,
,MedQA_2000,-,-,-,-,-,-,8.173422,7.561827,7.233453,8.744484,8.133915,7.114931,1949,
,medical_o1_sft_CN+EN_2000,6.228485,6.359336,5.9693,7.505284,7.742828,6.05385,-,-,-,-,-,-,1987,
,shibing624-medical_train_2000,4.674011,6.118678,4.395593,7.225839,7.364046,5.260391,-,-,-,-,-,-,1997,
llama3.2-3B 原始,GlobalHealthAtlas_Sample_2000,2.497093,3.544574,2.911822,5.497093,5.530039,3.532946,7.487073,6.073423,5.624612,7.640124,7.220269,5.531541,1999,
,Instruction-public-health-dataset_748,3.164659,4.008032,3.174029,5.441767,5.242303,4.017403,-,-,-,-,-,-,747,
,xhluca_publichealth_qa_888,2.968468,3.060811,2.940315,4.27027,4.811937,3.288288,-,-,-,-,-,-,888,
,MedQA_2000,-,-,-,-,-,-,5.855,6.01,6.081,6.6455,7.7135,5.6485,2000,
,medical_o1_sft_CN+EN_2000,3.369,4.2085,4.09,4.7465,6.2345,4.061,-,-,-,-,-,-,2000,
,shibing624-medical_train_2000,2.248,2.641,2.481,3.8205,4.2165,2.9335,-,-,-,-,-,-,2000,
llama3.2-3B 100%微调（更新）,GlobalHealthAtlas_Sample_2000_3B_result.json,3.260407,4.247822,3.701839,5.724105,6.665053,4.273959,8.262668,7.246122,7.123061,8.525336,7.936918,6.292658,2000,
,Instruction-public-health-dataset_748_3B_result.json,4.878179,5.959839,4.722892,7.133869,7.291834,5.536814,0,0,0,0,0,0,747,
,xhluca_publichealth_qa_888_3B_result.json,4.007892,4.468997,3.802706,5.35513,6.384442,4.210823,0,0,0,0,0,0,887,
,MedQA_2000_3B_result.json,0,0,0,0,0,0,5.085,5.96,6.4045,6.3805,7.8975,5.6845,2000,
,medical_o1_sft_CN+EN_2000_3B_result.json,3.3655,4.2505,4.137,4.4855,6.6075,4.1125,0,0,0,0,0,0,2000,
,shibing624-medical_train_2000_3B_result.json,2.938969,3.415208,3.152076,4.253127,5.847924,3.507254,0,0,0,0,0,0,1999,
llama-3.1 8B 原始,GlobalHealthAtlas_Sample_2000,2.952519,3.667636,3.371124,5.725775,5.776163,3.714147,7.639752,6.175983,5.800207,7.950311,7.120083,5.635611,1998,
,Instruction-public-health-dataset_748,3.850067,4.344043,3.872825,6.137885,5.922356,4.255689,-,-,-,-,-,-,747,
,xhluca_publichealth_qa_888,4.21219,4.382619,3.98307,5.724605,6.248307,4.369074,-,-,-,-,-,-,886,
,MedQA_2000,-,-,-,-,-,-,5.972986,5.90045,6.114057,6.718359,7.398199,5.574287,1999,
,medical_o1_sft_CN+EN_2000,3.5755,4.1255,4.353,4.7625,6.175,4.0755,-,-,-,-,-,-,2000,
,shibing624-medical_train_2000,3.001,3.525,3.219,4.8405,5.5375,3.594,-,-,-,-,-,-,2000,
llama-3.1 8B 100%微调（更新）,GlobalHealthAtlas_Sample_2000_8B_result.json,3.606002,4.733785,4,6.136496,6.946757,4.668925,8.682573,7.54668,7.389004,8.89834,8.040456,6.451245,1997,
,Instruction-public-health-dataset_748_8B_result.json,5.205094,6.246649,4.983914,7.485255,7.538874,5.709115,0,0,0,0,0,0,746,
,xhluca_publichealth_qa_888_8B_result.json,4.679864,5.292986,4.239819,6.238688,6.888009,4.877828,0,0,0,0,0,0,884,
,MedQA_2000_8B_result.json,0,0,0,0,0,0,5.687844,6.514257,6.869935,7.015008,8.091546,6.14057,1999,
,medical_o1_sft_CN+EN_2000_8B_result.json,4.029,4.796,4.595,5.213,7.085,4.6255,0,0,0,0,0,0,2000,
,shibing624-medical_train_2000_8B_result.json,3.257,3.755,3.3495,4.7875,6.228,3.887,0,0,0,0,0,0,2000,
llama3.3 70B 原始,GlobalHealthAtlas_Sample_2000_result_checkpoint.json,2.954501,3.630203,3.355276,5.760891,5.793804,3.715392,7.652534,6.193382,5.80455,7.972079,7.127198,5.63909,2000,
,Instruction-public-health-dataset_748_result_checkpoint.json,3.814171,4.399733,3.90107,6.137701,5.919786,4.263369,0,0,0,0,0,0,748,
,xhluca_publichealth_qa_888_result_checkpoint.json,4.243517,4.404735,3.981962,5.774521,6.260428,4.352875,0,0,0,0,0,0,887,
,MedQA_2000_result_checkpoint.json,0,0,0,0,0,0,5.972986,5.885943,6.087544,6.692346,7.388194,5.570285,1999,
,medical_o1_sft_CN+EN_2000_result_checkpoint.json,3.5755,4.117,4.363,4.7385,6.161,4.0365,0,0,0,0,0,0,2000,
,shibing624-medical_train_2000_result_checkpoint.json,3.023,3.5945,3.2605,4.905,5.553,3.632,0,0,0,0,0,0,2000,
llama 70B 100%微调,GlobalHealthAtlas_Sample_2000_result_70B.json,4.145349,5.199612,4.424419,6.742248,7.197674,4.965116,8.93485,7.823164,7.687694,9.137539,8.16546,6.693899,1999,
,Instruction-public-health-dataset_748_70B_result.json,5.367647,6.377005,5.064171,7.568182,7.490642,5.772727,0,0,0,0,0,0,748,
,xhluca_publichealth_qa_888_70B_result.json,5.228861,5.900789,4.551297,7.078918,7.057497,5.171364,0,0,0,0,0,0,887,
,MedQA_2000_70B_result.json,0,0,0,0,0,0,7.698849,7.797399,7.894947,8.549275,8.530765,7.152076,1999,
,medical_o1_sft_CN+EN_2000_70B_result.json,5.451226,5.848424,5.388694,6.629815,7.703352,5.493747,0,0,0,0,0,0,1999,
,shibing624-medical_train_2000_70B_result.json,3.691692,4.302302,3.655155,5.502002,6.686687,4.285786,0,0,0,0,0,0,1998,
