Unnamed: 0,Unnamed: 1,Single-Choice,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Model,Dataset,Accuracy,Reasoning,Completeness,Consensus Alignment,Terminology Norms,Insightfulness,valid_count,Average
Qwen-4b 原始,MMLU-Pro_Final_12032.json,4.839274,6.705446,7.002332,7.684877,8.044887,6.298051,12008,
,gpqa_main_448.json,3.497758,4.327354,4.919283,5.192825,7.112108,4.639013,446,
Qwen-4b 100%微调,MMLU-Pro_Final_12032.json,6.810403,6.7306,7.011522,8.015164,7.371061,6.317943,11804,
,gpqa_main_448.json,4.068627,4.362745,5.254902,6.169118,6.914216,5.281863,408,
Qwen-8b 原始,MMLU-Pro_Final_12032.json,5.311276,7.153763,7.336861,8.160347,8.234853,6.636636,11999,
,gpqa_main_448.json,3.865169,4.582022,5.121348,5.422472,7.332584,4.896629,445,
Qwen-8b 100%微调,MMLU-Pro_Final_12032.json,7.134339,7.110312,7.350316,8.45449,7.668625,6.711943,11404,
,gpqa_main_448.json,5.140449,4.741573,5.561798,7.016854,7.286517,5.674157,356,
Qwen-14b 原始,MMLU-Pro_Final_12032.json,5.967702,7.485724,7.58112,8.420461,8.307001,6.794056,12013,
,gpqa_main_448.json,3.579418,4.630872,5.268456,5.682327,7.39821,5.102908,447,
Qwen-14b 原始,MMLU-Pro_Final_12032.json,7.443042,6.896951,7.110585,8.498686,7.401945,6.500789,11412,
,gpqa_main_448.json,5.693215,4.262537,5.277286,7.047198,6.719764,5.336283,339,
